intervention,repeat_id,baseline_acc,intervention_acc,delta_acc,removed_edges,target_neurons,control_type,available,unavailable_reason,seed,split,checkpoint,mean_target_expected_out_degree,mean_control_expected_out_degree,mean_abs_degree_gap
baseline,,0.7243816254416962,0.7243816254416962,0.0,0,,baseline,True,,44,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
top_prob_edges_remove,,0.7243816254416962,0.7234982332155477,-0.0008833922261484162,50,,target,True,,44,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,0,0.7243816254416962,0.7243816254416962,0.0,50,,random_same_count,True,,3557170267,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,1,0.7243816254416962,0.7274734982332155,0.0030918727915193456,50,,random_same_count,True,,68047478,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,2,0.7243816254416962,0.7274734982332155,0.0030918727915193456,50,,random_same_count,True,,2846013244,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,3,0.7243816254416962,0.726148409893993,0.0017667844522968323,50,,random_same_count,True,,1661838561,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,4,0.7243816254416962,0.7257067137809188,0.0013250883392226243,50,,random_same_count,True,,918245906,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,5,0.7243816254416962,0.7257067137809188,0.0013250883392226243,50,,random_same_count,True,,4198646344,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,6,0.7243816254416962,0.7252650176678446,0.0008833922261484162,50,,random_same_count,True,,1338747997,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,7,0.7243816254416962,0.7212897526501767,-0.0030918727915194566,50,,random_same_count,True,,2594555439,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,8,0.7243816254416962,0.7265901060070671,0.0022084805653709294,50,,random_same_count,True,,2259343563,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,9,0.7243816254416962,0.723939929328622,-0.0004416961130742081,50,,random_same_count,True,,100213901,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,10,0.7243816254416962,0.7270318021201413,0.0026501766784451375,50,,random_same_count,True,,586276400,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,11,0.7243816254416962,0.7226148409893993,-0.0017667844522968323,50,,random_same_count,True,,3583984804,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,12,0.7243816254416962,0.7265901060070671,0.0022084805653709294,50,,random_same_count,True,,2040473737,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,13,0.7243816254416962,0.7212897526501767,-0.0030918727915194566,50,,random_same_count,True,,1054248047,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,14,0.7243816254416962,0.7265901060070671,0.0022084805653709294,50,,random_same_count,True,,2336088904,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,15,0.7243816254416962,0.7283568904593639,0.003975265017667762,50,,random_same_count,True,,674043006,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,16,0.7243816254416962,0.7292402826855123,0.004858657243816178,50,,random_same_count,True,,96240290,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,17,0.7243816254416962,0.726148409893993,0.0017667844522968323,50,,random_same_count,True,,343131632,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,18,0.7243816254416962,0.723939929328622,-0.0004416961130742081,50,,random_same_count,True,,2356098874,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
random_edges_same_as_top_prob,19,0.7243816254416962,0.7252650176678446,0.0008833922261484162,50,,random_same_count,True,,839194397,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_44_260616083940/checkpoints/best.pt,,,
