intervention,repeat_id,baseline_acc,intervention_acc,delta_acc,removed_edges,target_neurons,control_type,available,unavailable_reason,seed,split,checkpoint,mean_target_expected_out_degree,mean_control_expected_out_degree,mean_abs_degree_gap
baseline,,0.078125,0.078125,0.0,0,,baseline,True,,42,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_42_260616014632/checkpoints/best.pt,,,
top_prob_edges_remove,,0.078125,0.078125,0.0,50,,target,True,,42,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_42_260616014632/checkpoints/best.pt,,,
random_edges_same_as_top_prob,0,0.078125,0.078125,0.0,50,,random_same_count,True,,4015472000,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_42_260616014632/checkpoints/best.pt,,,
random_edges_same_as_top_prob,1,0.078125,0.0625,-0.015625,50,,random_same_count,True,,1461243946,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_42_260616014632/checkpoints/best.pt,,,
hub_incoming_remove,,0.078125,0.0703125,-0.0078125,1344,135;277;180;334;172;182;282;168;163;294,target,True,,42,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_42_260616014632/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,0,0.078125,0.078125,0.0,1344,,random_same_count,True,,36529285,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_42_260616014632/checkpoints/best.pt,,,
random_edges_same_count_as_hub_incoming,1,0.078125,0.078125,0.0,1344,,random_same_count,True,,910002858,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_42_260616014632/checkpoints/best.pt,,,
hub_outgoing_remove,,0.078125,0.0625,-0.015625,1269,227;190;453;406;393;127;294;365;6;250,target,True,,42,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_42_260616014632/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,0,0.078125,0.0625,-0.015625,1269,,random_same_count,True,,3270358663,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_42_260616014632/checkpoints/best.pt,,,
random_edges_same_count_as_hub_outgoing,1,0.078125,0.0703125,-0.0078125,1269,,random_same_count,True,,3497130571,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_42_260616014632/checkpoints/best.pt,,,
ei_matched_outgoing_control,0,0.078125,0.0625,-0.015625,639,5;51;65;79;216;288;356;368;409;462,ei_matched,True,,1550598554,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_42_260616014632/checkpoints/best.pt,,,
ei_matched_outgoing_control,1,0.078125,0.0625,-0.015625,476,1;76;94;169;311;324;361;381;455;469,ei_matched,True,,1632800789,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_42_260616014632/checkpoints/best.pt,,,
degree_matched_outgoing_control,0,0.078125,0.0703125,-0.0078125,1044,42;153;200;262;333;405;411;429;467;474,degree_matched,True,,693677184,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_42_260616014632/checkpoints/best.pt,163.0797882080078,157.6279754638672,5.451815795898438
degree_matched_outgoing_control,1,0.078125,0.0703125,-0.0078125,1003,42;113;152;177;230;328;405;413;429;467,degree_matched,True,,1507063222,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_42_260616014632/checkpoints/best.pt,163.0797882080078,157.47518920898438,5.604582214355469
recurrent_current_top_neuron_outgoing_remove,,0.078125,nan,nan,0,,target,False,missing_recurrent_current_diagnostics,42,test,experiments/lsm_shd_alif_lowrank_r16_m50p10_learned_input_proj_fdi_spike_adaptation_b010_inc0125_biaslr05_42_260616014632/checkpoints/best.pt,,,
